Province_State,Country_Region,Lat,Long_
"Plymouth County, MA",US,42.1615,-70.7928
"Santa Cruz County, CA",US,36.9741,-122.0308
"Tulsa County, OK",US,36.1593,-95.941
"Montgomery County, TX",US,30.3213,-95.4778
,Republic of Ireland,53.1424,-7.6921
,Ireland,53.4167,-8.0
"Norfolk County, MA",US,42.1767,-71.1449
,Bulgaria,42.7339,25.4858
,Maldives,3.2028,73.2207
"Montgomery County, PA",US,40.229,-75.3879
,Bangladesh,23.685,90.3563
,Tunisia,33.8869,9.5375
"Fairfax County, VA",US,38.9085,-77.2405
"Rockingham County, NH",US,42.9931,-71.0498
"Washington, D.C.",US,38.9072,-77.0369
,Moldova,47.4116,28.3699
,Paraguay,-23.4425,-58.4438
"Berkshire County, MA",US,42.3118,-73.1822
"Davidson County, TN",US,36.1343,-86.822
"Douglas County, OR",US,43.1261,-123.2492
"Fresno County, CA",US,36.9859,-119.2321
"Harford County, MD",US,39.5839,-76.3637
"Hendricks County, IN",US,39.8065,-86.5401
"Hudson County, NJ",US,40.7453,-74.0535
"Johnson County, KS",US,38.8454,-94.8521
"Kittitas County, WA",US,47.175,-120.9319
"Manatee County, FL",US,27.4799,-82.3452
"Marion County, OR",US,44.8446,-122.5927
"Okaloosa County, FL",US,30.5773,-86.6611
"Polk County, GA",US,34.0132,-85.1479
"Riverside County, CA",US,33.9533,-117.3961
"Shelby County, TN",US,35.1269,-89.9253
"Spokane County, WA",US,47.6587,-117.4225
"St. Louis County, MO",US,38.6103,-90.4125
"Suffolk County, NY",US,40.9849,-72.6151
"Ulster County, NY",US,41.8586,-74.3118
"Unassigned Location, VT",US,44.3378,-72.7563
"Unknown Location, MA",US,42.4072,-71.3824
"Volusia County, FL",US,29.028000000000002,-81.0755
Ontario,Canada,51.2538,-85.3232
British Columbia,Canada,53.7267,-127.6476
Alberta,Canada,53.9333,-116.5765
Quebec,Canada,52.9399,-73.5491
"Johnson County, IA",US,41.6699,-91.5984
,Albania,41.1533,20.1683
,Cyprus,35.1264,33.4299
,St. Martin,18.0708,-63.0501
"Harrison County, KY",US,38.4333,-84.3542
,Brunei,4.5353,114.7277
"Bennington County, VT",US,43.0279,-73.135
"Carver County, MN",US,44.8254,-93.7842
"Charlotte County, FL",US,26.8946,-81.9098
"Cherokee County, GA",US,34.2515,-84.4803
"Collin County, TX",US,33.1795,-96.493
"Jefferson County, KY",US,38.1938,-85.6435
"Jefferson Parish, LA",US,29.6499,-90.1121
"Shasta County, CA",US,40.7909,-121.8474
"Spartanburg County, SC",US,34.8606,-81.9535
,Iran (Islamic Republic of),32.0,53.0
,Republic of Korea,36.0,128.0
Washington,US,47.4009,-121.4905
New York,US,42.1657,-74.9481
California,US,36.1162,-119.6816
Hong Kong,Hong Kong SAR,22.3,114.2
Massachusetts,US,42.2302,-71.5301
,United Arab Emirates,23.4241,53.8478
,Thailand,15.87,100.9925
Taiwan,Taipei and environs,23.7,121.0
Diamond Princess,US,35.4437,139.638
,Philippines,12.8797,121.774
,Viet Nam,16.0,108.0
,occupied Palestinian territory,31.9522,35.2332
Grand Princess,US,37.6489,-122.6655
